title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
The Reincarnation of the Strongest Exorcist in Another World,"Action, Adventure, Fantasy, Romance, Supernatural",Asmik Ace,13,2023,TV,70,AniList
Moriarty the Patriot Part 2,"Drama, Mystery, Psychological, Thriller",Production I.G,13,2021,TV,81,AniList
Shelter,Sci-Fi,A-1 Pictures,1,2016,MUSIC,80,AniList
Orb: On the Movements of the Earth,Drama,MADHOUSE,25,2024,TV,86,AniList
TONIKAWA: Over The Moon For You Season 2,"Comedy, Romance, Slice of Life",Warner Bros. Japan,12,2023,TV,76,AniList
Fate/Grand Order Absolute Demonic Front: Babylonia,"Action, Adventure, Fantasy, Supernatural",CloverWorks,21,2019,TV,78,AniList
Afro Samurai,"Action, Adventure",GONZO,5,2007,TV,70,AniList
Devils' Line,"Action, Drama, Horror, Romance, Supernatural",Platinum Vision,12,2018,TV,65,AniList
Witch Craft Works,"Action, Fantasy, Supernatural",J.C.STAFF,12,2014,TV,67,AniList
Durarara!! X2 The Third Arc,"Action, Mystery, Supernatural",Shuka,12,2016,TV,79,AniList
Aoashi,Sports,Production I.G,24,2022,TV,81,AniList
That Time I Got Reincarnated as a Slime OAD,"Action, Adventure, Comedy, Ecchi, Fantasy",8-bit,5,2019,OVA,73,AniList
High School Prodigies Have It Easy Even In Another World,"Action, Adventure, Drama, Ecchi, Fantasy",project No.9,12,2019,TV,61,AniList
Legend of the Galactic Heroes,"Drama, Sci-Fi",Kitty Film,110,1988,OVA,88,AniList
Hanasaku Iroha ~Blossoms for Tomorrow~,"Comedy, Drama, Slice of Life",Bandai Visual,26,2011,TV,77,AniList
Infinite Stratos 2,"Action, Comedy, Ecchi, Mecha, Romance, Sci-Fi",Lantis,12,2013,TV,60,AniList
Sabikui Bisco,"Action, Adventure, Fantasy",OZ,12,2022,TV,70,AniList
The Dangers in My Heart Season 2,"Comedy, Romance, Slice of Life",Shin-Ei Animation,13,2024,TV,87,AniList
Steins;Gate 0: 23β -Divide by Zero-,"Drama, Psychological, Sci-Fi, Thriller",WHITE FOX,1,2015,OVA,81,AniList
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2","Action, Adventure, Comedy, Fantasy, Slice of Life",KADOKAWA,12,2023,TV,71,AniList
This Art Club Has a Problem!,"Comedy, Romance",feel.,12,2016,TV,70,AniList
Hundred,"Action, Ecchi, Mecha, Sci-Fi",Production IMS,12,2016,TV,59,AniList
Black Butler: Book of Circus,"Comedy, Fantasy, Mystery, Supernatural",A-1 Pictures,10,2014,TV,78,AniList
Stars Align,"Drama, Slice of Life, Sports",8-bit,12,2019,TV,75,AniList
The Kawai Complex Guide to Manors and Hostel Behavior,"Comedy, Romance, Slice of Life",Brain's Base,12,2014,TV,74,AniList
The Yakuza's Guide to Babysitting,"Comedy, Slice of Life",feel.,12,2022,TV,77,AniList
Magical Sempai,"Comedy, Ecchi, Slice of Life",LIDENFILMS,12,2019,TV_SHORT,61,AniList
SHAMAN KING (2021),"Action, Adventure, Comedy, Supernatural",Bridge,52,2021,TV,64,AniList
Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,"Action, Comedy, Ecchi, Fantasy, Romance",ENGI,12,2021,TV,62,AniList
Black Summoner,"Action, Adventure, Fantasy",Satelight,12,2022,TV,69,AniList
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,"Fantasy, Romance",diomedéa,12,2023,TV,75,AniList
The Duke of Death and His Maid,"Comedy, Drama, Romance, Supernatural",J.C.STAFF,12,2021,TV,74,AniList
Dr. STONE SCIENCE FUTURE,"Action, Adventure, Comedy, Sci-Fi",Toho,12,2025,TV,82,AniList
The World God Only Knows II,"Comedy, Romance, Supernatural",TV Tokyo,12,2011,TV,76,AniList
Ghost in the Shell: Stand Alone Complex,"Action, Mystery, Psychological, Sci-Fi",Production I.G,26,2002,TV,82,AniList
Love After World Domination,"Action, Comedy, Romance, Supernatural",project No.9,12,2022,TV,73,AniList
Lord Marksman and Vanadis,"Adventure, Ecchi, Fantasy, Romance",Satelight,13,2014,TV,67,AniList
Patema Inverted,"Adventure, Romance, Sci-Fi",Asmik Ace,1,2013,MOVIE,77,AniList
LAID-BACK CAMP SEASON2,"Comedy, Slice of Life",C-Station,13,2021,TV,84,AniList
Sword Art Online EXTRA EDITION,"Action, Adventure, Fantasy, Romance",A-1 Pictures,1,2013,SPECIAL,61,AniList
Noragami OVA,"Action, Adventure, Comedy, Supernatural",bones,2,2014,OVA,74,AniList
