title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
Serial Experiments Lain,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",TV Tokyo,13,1998-07,Tv,80,AniList
Yuri!!! on ICE,"Comedy, Drama, Sports",MAPPA,12,2016-10,Tv,77,AniList
TONIKAWA: Over The Moon For You,"Comedy, Romance, Slice of Life",Seven Arcs,12,2020-10,Tv,77,AniList
Danganronpa: The Animation,"Horror, Mystery, Psychological, Sci-Fi, Thriller",NBCUniversal Entertainment Japan,13,2013-06,Tv,68,AniList
Chivalry of a Failed Knight,"Action, Ecchi, Fantasy, Romance",SILVER LINK.,12,2015-10,Tv,72,AniList
Vinland Saga Season 2,"Action, Adventure, Drama",Twin Engine,24,2023-01,Tv,88,AniList
Orange,"Drama, Romance, Supernatural",TMS Entertainment,13,2016-07,Tv,74,AniList
Kimi ni Todoke: From Me to You,"Comedy, Drama, Romance, Slice of Life",Production I.G,25,2009-10,Tv,79,AniList
The Rising of the Shield Hero Season 2,"Action, Adventure, Fantasy",Kinema Citrus,13,2022-04,Tv,64,AniList
Masamune-kun's Revenge,"Comedy, Romance, Slice of Life",SILVER LINK.,12,2017-01,Tv,65,AniList
Food Wars! The Third Plate,"Comedy, Ecchi",J.C.STAFF,12,2017-10,Tv,78,AniList
Call of the Night,"Comedy, Psychological, Romance, Slice of Life, Supernatural",LIDENFILMS,13,2022-07,Tv,79,AniList
Tokyo Ghoul:re 2,"Action, Horror, Mystery, Psychological, Supernatural",Studio Pierrot,12,2018-10,Tv,61,AniList
"No Game, No Life Zero","Action, Adventure, Drama, Fantasy, Romance",MADHOUSE,1,2017-07,Movie,80,AniList
Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy",Aniplex,25,2012-10,Tv,78,AniList
Classroom of the Elite Season 2,"Drama, Mystery, Psychological",KADOKAWA,13,2022-07,Tv,79,AniList
Monthly Girls' Nozaki-kun,"Comedy, Romance, Slice of Life",Doga Kobo,12,2014-07,Tv,77,AniList
BOCCHI THE ROCK!,"Comedy, Music, Slice of Life",CloverWorks,12,2022-10,Tv,87,AniList
Great Pretender,"Action, Comedy, Drama, Thriller",WIT STUDIO,23,2020-06,Ona,81,AniList
Blood Blockade Battlefront,"Action, Comedy, Supernatural",bones,12,2015-04,Tv,74,AniList
Boruto: Naruto Next Generations,"Action, Adventure, Fantasy",Studio Pierrot,293,2017-04,Tv,56,AniList
The Apothecary Diaries,"Drama, Mystery",Toho,24,2023-10,Tv,88,AniList
Perfect Blue,"Drama, Horror, Psychological, Thriller",MADHOUSE,1,1998-02,Movie,85,AniList
Solo Leveling Season 2 -Arise from the Shadow-,"Action, Adventure, Fantasy",Aniplex,13,2025-01,Tv,87,AniList
Dragon Ball,"Action, Adventure, Comedy, Fantasy, Supernatural",Toei Animation,153,1986-02,Tv,78,AniList
Clannad: After Story,"Drama, Romance, Slice of Life, Supernatural",Kyoto Animation,24,2008-10,Tv,87,AniList
Akira,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",Tokyo Movie Shinsha,1,1988-07,Movie,79,AniList
My Hero Academia: Two Heroes,"Action, Comedy, Drama, Sci-Fi",bones,1,2018-08,Movie,74,AniList
Kaiju No.8,"Action, Sci-Fi",Toho,12,2024-04,Tv,82,AniList
Mushoku Tensei: Jobless Reincarnation Season 2,"Adventure, Drama, Ecchi, Fantasy",Studio Bind,13,2023-07,Tv,81,AniList
Steins;Gate 0,"Drama, Psychological, Sci-Fi, Thriller",WHITE FOX,23,2018-04,Tv,84,AniList
